"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Lösch, Daniel",1999,AfD,Wahlkreis 241,
"Losch, Monika",1950,MLPD,Land Schleswig-Holstein (Platz 5),
"Löschner, Isabell",1989,GRÜNE,Land Bayern (Platz 43),
"Lösel, Lisa",1998,ÖDP,Wahlkreis 236,
"Loth, Barbara Eva",1957,SPD,Land Berlin (Platz 12),
"Lötsch, Cornelius",1995,Die PARTEI,Wahlkreis 284,
"Lotz, Anja",1966,SPD,"Wahlkreis 276
    und 
    Land Baden-Württemberg (Platz 29)",
"Lotz, Markus",1986,NPD,Land Hessen (Platz 4),
"Lotz, Tobias",1971,Die PARTEI,Land Bremen (Platz 11),
"Lotzin, Marcus",1980,AfD,Wahlkreis 280,
"Dr. Lötzsch, Gesine",1961,DIE LINKE,"Wahlkreis 086
    und 
    Land Berlin (Platz 3)",
"Lovens-Cronemeyer, Sebastian",1974,Die PARTEI,Land Sachsen-Anhalt (Platz 1),
"Dr. Löw, Isabell Melisande",1983,dieBasis,Land Bayern (Platz 19),
"Dr. Löwe, Rainer",1953,parteienunabhängig,Wahlkreis 013,
"Löwenbourg-Brzezinski, Elisabeth Victoria Sophie",1984,GRÜNE,"Wahlkreis 226
    und 
    Land Bayern (Platz 21)",
"Lübbers, Meike",1996,CDU,Land Niedersachsen (Platz 60),
"Lübcke, Christoph Heinrich",1984,CDU,Land Hessen (Platz 42),
"Lübcke, Wolf Vincent",1990,PIRATEN,Land Niedersachsen (Platz 6),
"Lubitz, Holger Klaus Friedel",1971,PIRATEN,"Wahlkreis 027
    und 
    Land Niedersachsen (Platz 7)",
"Lucas, Dietmar",1962,dieBasis,Wahlkreis 085,
"Lucassen, Hans-Rüdiger",1951,AfD,"Wahlkreis 092
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Lucchesi, Richard",1986,Die PARTEI,Land Berlin (Platz 26),
"Luckas, Valentin",1994,ÖDP,Land Brandenburg (Platz 8),
"Luckhardt, Sven",1989,Die PARTEI,Land Hessen (Platz 31),
"Lucks, Max",1997,GRÜNE,"Wahlkreis 140
    und 
    Land Nordrhein-Westfalen (Platz 14)",
"Dr. Luczak, Jan-Marco",1975,CDU,"Wahlkreis 081
    und 
    Land Berlin (Platz 2)",
"Lüdders, Kai Peter",1977,dieBasis,Land Hamburg (Platz 1),
"von Lüdeke, Klaus-Peter",1947,FREIE WÄHLER,Wahlkreis 079,
"Lüders, Niels-Olaf",1966,DIE LINKE,"Wahlkreis 059
    und 
    Land Brandenburg (Platz 8)",
"Lüderwald, Silke Christina",1965,SPD,Land Hessen (Platz 41),
"Ludin, Thomas",1973,Gesundheitsforschung,Land Baden-Württemberg (Platz 3),
"Lüdorf, Carlo Simone",1997,PdF,Land Nordrhein-Westfalen (Platz 8),
"Ludwig, André",1976,FDP,"Wahlkreis 166
    und 
    Land Sachsen (Platz 7)",
"Ludwig, Daniela",1975,CSU,"Wahlkreis 222
    und 
    Land Bayern (Platz 4)",
"Ludwig, Franziska Margot",1991,Die PARTEI,Land Brandenburg (Platz 3),
"Ludwig, Jeffrey",1992,Volt,Land Rheinland-Pfalz (Platz 8),
"Dr. Ludwig, Saskia",1968,CDU,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 7)",
"Ludwig, Sven",1981,Team Todenhöfer,Land Rheinland-Pfalz (Platz 9),
"Luf, Wolfgang",1966,Die PARTEI,Land Rheinland-Pfalz (Platz 12),
"Lugk, Bettina",1982,SPD,"Wahlkreis 150
    und 
    Land Nordrhein-Westfalen (Platz 14)",
"Lühring, Sonia Ellen",1962,Tierschutzpartei,Land Baden-Württemberg (Platz 6),
"Lührmann, Anna Kristina",1983,GRÜNE,"Wahlkreis 178
    und 
    Land Hessen (Platz 5)",
"Luksic, Oliver",1979,FDP,"Wahlkreis 298
    und 
    Land Saarland (Platz 1)",
"Lund, Stephanie",1975,PIRATEN,Land Baden-Württemberg (Platz 9),
"Lünenschloss, Caroline Anne Marie",1993,CDU,"Wahlkreis 102
    und 
    Land Nordrhein-Westfalen (Platz 44)",
"Luong, Quo-Chir",1987,MLPD,Land Nordrhein-Westfalen (Platz 14),
"Lustig, Frank Gustav",1967,dieBasis,Wahlkreis 123,
"Dr. Lutfullin, Timur",1986,FDP,"Wahlkreis 259
    und 
    Land Baden-Württemberg (Platz 21)",
"Luthe, Marcel",1977,FREIE WÄHLER,Wahlkreis 080,
"Luther, Manon Philine",1996,SPD,Land Niedersachsen (Platz 53),
"Lütke, Kristine",1982,FDP,"Wahlkreis 246
    und 
    Land Bayern (Platz 12)",
"Lüttich, Moira Aileen",1991,Die PARTEI,Land Hessen (Platz 8),
"Lüttich, Nadja",1974,DIE LINKE,Land Sachsen-Anhalt (Platz 7),
"Lüttschwager, Frank",1964,Die Humanisten,Land Hamburg (Platz 6),
"Lutz, Christoph",1991,dieBasis,"Wahlkreis 202
    und 
    Land Rheinland-Pfalz (Platz 4)",
"Lutz, Siegfried",1947,LKR,Land Schleswig-Holstein (Platz 10),
"Lutze, Thomas",1969,DIE LINKE,Land Saarland (Platz 1),
"Lux, Stefan",1959,NPD,Land Berlin (Platz 3),
"Dr. Luxen, Dennis",1978,Die PARTEI,Land Hessen (Platz 5),
"Maack, Sebastian",1969,AfD,Wahlkreis 077,
"Maag, Maximilian Jakob",1998,Die PARTEI,Land Hessen (Platz 47),
"Maas, Heiko Josef",1966,SPD,"Wahlkreis 297
    und 
    Land Saarland (Platz 1)",
"Maas, Raphael Danilo",2001,DIE LINKE,Land Niedersachsen (Platz 13),
"Maas, Stefan",1962,GRÜNE,"Wahlkreis 024
    und 
    Land Niedersachsen (Platz 30)",
"Maaßen, Hans-Georg",1962,CDU,Wahlkreis 196,
"Maazouz, Jamal",1981,Team Todenhöfer,Land Hessen (Platz 10),
"Mac Lean, Richard",1949,dieBasis,"Wahlkreis 057
    und 
    Land Brandenburg (Platz 9)",
"Dr. Machalet, Tanja",1974,SPD,"Wahlkreis 204
    und 
    Land Rheinland-Pfalz (Platz 2)",
"Macheleidt, Maria Eva",1983,dieBasis,Wahlkreis 084,
"Mächerle, Henning",1968,DKP,"Wahlkreis 173
    und 
    Land Hessen (Platz 8)",
"Machner, Matthias",1982,Die PARTEI,Land Sachsen-Anhalt (Platz 7),
"Dr. Machon, Christian",1974,CSU,Land Bayern (Platz 71),
"Mack, Klaus",1973,CDU,Wahlkreis 280,
"Mack, Sonja",1979,FREIE WÄHLER,"Wahlkreis 245
    und 
    Land Bayern (Platz 34)",
"Mack, Torben",1998,Volt,Land Baden-Württemberg (Platz 20),
"Mackensen-Geis, Isabel Larissa",1986,SPD,"Wahlkreis 208
    und 
    Land Rheinland-Pfalz (Platz 4)",
"Mader, Wolfgang Franz-Michael",1959,LKR,Land Niedersachsen (Platz 13),
"Madert, Elisa",2002,Volt,Land Niedersachsen (Platz 5),
"Madsen, Elisabeth Birgit",1956,ÖDP,Land Hessen (Platz 3),
"Magar, Axel Maria",1954,AfD,Wahlkreis 298,
"Magel, Johannes Heinz Günter",1951,DKP,Land Niedersachsen (Platz 8),
"Magwas, Yvonne",1979,CDU,"Wahlkreis 166
    und 
    Land Sachsen (Platz 4)",
"Mahlberg, Thomas",1965,CDU,"Wahlkreis 115
    und 
    Land Nordrhein-Westfalen (Platz 27)",
"Mahle, Martin",1955,dieBasis,Land Bayern (Platz 55),
"Mahlo, Yvonne Margret",1980,DIE LINKE,"Wahlkreis 065
    und 
    Land Brandenburg (Platz 9)",
"Dr. Mährlein, Christoph",1967,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 7),
"Mai, Alexander",1996,ÖDP,"Wahlkreis 252
    und 
    Land Bayern (Platz 32)",
"Mai, Franz-Josef",1943,ÖDP,Land Thüringen (Platz 8),
"Mai, Nadine",1983,GRÜNE,Land Schleswig-Holstein (Platz 15),
"Maier, Albert",1991,BP,Land Bayern (Platz 20),
"Dr. Maier, David",1982,SPD,"Wahlkreis 206
    und 
    Land Rheinland-Pfalz (Platz 11)",
"Maier, Jens",1962,AfD,"Wahlkreis 159
    und 
    Land Sachsen (Platz 2)",
"Maier, Karl Wilhelm",1947,MLPD,Wahlkreis 268,
"Maier, Ludwig",1961,ÖDP,"Wahlkreis 222
    und 
    Land Bayern (Platz 28)",
"Maier, Marius",1989,FREIE WÄHLER,Wahlkreis 286,
"Maier, Roland Walter",1955,MLPD,"Wahlkreis 270
    und 
    Land Baden-Württemberg (Platz 12)",
"Maiwald, Frank Michael",1981,FDP,"Wahlkreis 182
    und 
    Land Hessen (Platz 21)",
"Mai-Wehnes, Waltraud Katharina",1949,SPD,Land Hessen (Platz 49),
"Majd Amin, Barbara",1942,DKP,Land Berlin (Platz 2),
"Majewski, Carsten Michael",1963,Die PARTEI,Wahlkreis 121,
"Makarski, Ulf",1973,PIRATEN,Land Brandenburg (Platz 4),
"Malewski, Boris",1978,AfD,Wahlkreis 261,
"Malik, Abdul",1969,MLPD,Land Berlin (Platz 6),
"Malisch, Jessica",1983,AfD,"Wahlkreis 105
    und 
    Land Nordrhein-Westfalen (Platz 17)",
"Malitzki, André",1971,dieBasis,Land Hamburg (Platz 4),
"Maller, Anton",1957,BP,"Wahlkreis 230
    und 
    Land Bayern (Platz 21)",
"von Malottki, Erik",1986,SPD,"Wahlkreis 016
    und 
    Land Mecklenburg-Vorpommern (Platz 3)",
"Dr. Malowaniec, Krzysztof",1955,ÖDP,Land Bayern (Platz 22),
"Dr. Malsack-Winkemann, Birgit Theresia",1964,AfD,"Wahlkreis 079
    und 
    Land Berlin (Platz 5)",
"Malsch, Sindy",1986,Die PARTEI,Wahlkreis 193,
"Malzahn, Maike Alexandra",1992,CDU,Land Rheinland-Pfalz (Platz 25),
"Mammitzsch, Siw",1977,DKP,"Wahlkreis 119
    und 
    Land Nordrhein-Westfalen (Platz 3)",
"Mancini, Mauro",1972,dieBasis,Land Saarland (Platz 7),
"Mandaric, Jennifer",1979,BÜNDNIS21,Land Hessen (Platz 7),
"Mandel, Alina",1987,Klimaliste für Collective Care und Inklusion,Wahlkreis 198,
"Mandelkow, Johanna",1995,FDP,Land Brandenburg (Platz 5),
"Manderla, Gisela Maria",1958,CDU,"Wahlkreis 095
    und 
    Land Nordrhein-Westfalen (Platz 26)",
"Mangen, Felix",1981,du.,Land Nordrhein-Westfalen (Platz 3),
"Mangold, Markus Sven",1979,FREIE WÄHLER,Wahlkreis 262,
"Mann, Holger",1979,SPD,"Wahlkreis 152
    und 
    Land Sachsen (Platz 1)",
"Dr. Mannes, Astrid",1967,CDU,"Wahlkreis 186
    und 
    Land Hessen (Platz 11)",
"Mannes, Gerd Michael",1969,AfD,Wahlkreis 255,
"Mannheim, Markus",1980,BÜNDNIS21,Land Baden-Württemberg (Platz 19),
"Dr. Mannheim, Sandra",1982,BÜNDNIS21,Land Baden-Württemberg (Platz 4),
"Manniegel, Norbert",1966,dieBasis,Wahlkreis 125,
"Manojlović, Tim Kevin",1993,Die PARTEI,"Wahlkreis 260
    und 
    Land Baden-Württemberg (Platz 30)",
"Prof. Dr. Manske, Dirk",1968,BÜNDNIS21,Land Baden-Württemberg (Platz 3),
"Mansmann, Till Berthold",1968,FDP,"Wahlkreis 188
    und 
    Land Hessen (Platz 3)",
"Mansoori, Kaweh",1988,SPD,"Wahlkreis 183
    und 
    Land Hessen (Platz 3)",
"Mantzke, Andreas",1987,DIE LINKE,"Wahlkreis 045
    und 
    Land Niedersachsen (Platz 7)",
"Manz, Robert",1977,Manz,Wahlkreis 228,
"Marahrens, Ronald-Oliver",1965,dieBasis,"Wahlkreis 054
    und 
    Land Bremen (Platz 1)",
"Marghescu, Rosa Maria",1998,ÖDP,Wahlkreis 218,
"Margraf, Daniel",1974,ÖDP,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 7)",
"Mari, Paul",2002,Die PARTEI,"Wahlkreis 236
    und 
    Land Bayern (Platz 24)",
"Marinello, Karin Ursula",1951,Internationalistisches Bündnis,Wahlkreis 171,
"Mariotti, Giorgio",1969,dieBasis,Land Baden-Württemberg (Platz 27),
"Mark, Yana",1989,FDP,Wahlkreis 072,
"Markert, Christian",1987,FDP,"Wahlkreis 128
    und 
    Land Nordrhein-Westfalen (Platz 49)",
"Marketakis, Konstantinos",1966,dieBasis,Wahlkreis 183,
"Markmann, René",1985,dieBasis,"Wahlkreis 131
    und 
    Land Nordrhein-Westfalen (Platz 22)",
"Markus, Larissa",1974,CDU,Land Brandenburg (Platz 13),
"Marmulla, Julia Susanne",1988,DIE LINKE,Wahlkreis 107,
"Marohn, Barbara Elsbeth Christel",1962,LKR,Land Bayern (Platz 3),
"Marotzky, Gerda Käthe Emmy",1947,DKP,Land Niedersachsen (Platz 9),
"Marquardt, Manuela",1963,parteilose Direktkandidatin Marquardt,Wahlkreis 063,
"Marquardt, Stephan",1984,DIE LINKE,Wahlkreis 046,
"Märsch, Robert",1986,CDU,Land Baden-Württemberg (Platz 49),
"Marschall von Bieberstein, Matern Christoph Kajetan",1962,CDU,Wahlkreis 281,
"Freiherr Marschall von Bieberstein, Peter Helmuth Wilhelm",1962,dieBasis,Land Bayern (Platz 58),
"Marschke, Sonja",1990,Die Humanisten,Land Sachsen-Anhalt (Platz 5),
"Marsell, Tristan",2000,Die Humanisten,Land Rheinland-Pfalz (Platz 8),
"Martens, Rosanna",1996,Die PARTEI,"Wahlkreis 137
    und 
    Land Nordrhein-Westfalen (Platz 46)",
"Martens, Zanda",1984,SPD,"Wahlkreis 106
    und 
    Land Nordrhein-Westfalen (Platz 28)",
"Martin, Bernhard",1964,Tierschutzpartei,Land Baden-Württemberg (Platz 3),
"Martin, Dorothee Katja Julia",1978,SPD,"Wahlkreis 021
    und 
    Land Hamburg (Platz 3)",
"Martin, Frank Siegfried",1967,ÖDP,Land Brandenburg (Platz 11),
"Dr. Martin, Jürgen",1955,PIRATEN,Land Baden-Württemberg (Platz 13),
"Dr. Martin, Leonhard",1961,AfD,Wahlkreis 127,
"Märtin, Nils",1977,DKP,Wahlkreis 143,
"Martin, Oliver Wolfgang Hermann",1967,FDP,"Wahlkreis 265
    und 
    Land Baden-Württemberg (Platz 30)",
"Martin, Susanne Margarete Christa",1991,GRÜNE,"Wahlkreis 195
    und 
    Land Thüringen (Platz 3)",
"Martini, Stephan",1983,PIRATEN,Land Mecklenburg-Vorpommern (Platz 6),
"Martin-Köppl, Ernestine",1960,DIE LINKE,Wahlkreis 215,
"Martinschledde, Werner",1967,Alle in EU,Wahlkreis 131,
"Marvi, Parsa",1982,SPD,"Wahlkreis 271
    und 
    Land Baden-Württemberg (Platz 12)",
"Marxen, Johannes",1955,AfD,Land Hessen (Platz 7),
"Marzahn, Benjamin",1982,Die PARTEI,Land Berlin (Platz 34),
"Marzinowski, Stefan",1971,dieBasis,Wahlkreis 110,
"Marzischewski-Drewes, Stefan",1965,AfD,"Wahlkreis 045
    und 
    Land Niedersachsen (Platz 9)",
"Marzouk, Martin Mohammed",1992,Team Todenhöfer,Land Hessen (Platz 11),
"Mascheck, Franziska",1979,SPD,"Wahlkreis 154
    und 
    Land Sachsen (Platz 8)",
"Mascher, Stephan",1971,Mascher,Wahlkreis 168,
"Maslo, Jacqueline",1991,Tierschutzpartei,Land Mecklenburg-Vorpommern (Platz 9),
"Mast, Katja Wilma",1971,SPD,"Wahlkreis 279
    und 
    Land Baden-Württemberg (Platz 5)",
"Mast, Markus",1993,FREIE WÄHLER,Wahlkreis 280,
"Dr. Mast, Willi Alfred",1947,MLPD,Land Nordrhein-Westfalen (Platz 21),
"Masuth, Ulrich Josef",1957,dieBasis,"Wahlkreis 193
    und 
    Land Thüringen (Platz 1)",
"Matamaru, Heiko",1975,Gesundheitsforschung,Land Nordrhein-Westfalen (Platz 5),
"Matheis, Lukas",1990,Die PARTEI,Wahlkreis 296,
"Matheis, Simon",1992,Die PARTEI,Wahlkreis 275,
"Dr. Matscheko, Angelika Ruth",1961,Bündnis C,Land Baden-Württemberg (Platz 5),
"Matschke, Michael",1990,Die PARTEI,Wahlkreis 064,
"Mattfeldt, Andreas",1969,CDU,"Wahlkreis 034
    und 
    Land Niedersachsen (Platz 21)",
"Matthes, Milan",1994,ÖDP,Land Hamburg (Platz 10),
"Matthies, Eckhard",1956,LKR,Land Niedersachsen (Platz 5),
"Matzek, Ilona",1983,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 25),
"Matzen, Tom",1997,CDU,Land Schleswig-Holstein (Platz 25),
"Matzke-Tarfa, André",1983,Team Todenhöfer,Land Berlin (Platz 22),
"Maugeri, Eliseo Francesco",2003,DIE LINKE,Wahlkreis 118,
"Mauksch, Roberto",1980,dieBasis,Wahlkreis 158,
"Maurer, Michael Franz Josef",1958,SPD,"Wahlkreis 200
    und 
    Land Rheinland-Pfalz (Platz 12)",
"Maurer, Roman",1966,FREIE WÄHLER,Land Saarland (Platz 4),
"Maus, Daniela",1976,MLPD,Wahlkreis 107,
"Maus, Sophie",1985,UNABHÄNGIGE,Wahlkreis 016,
"Mauson, Adrian Manuel",1992,MLPD,"Wahlkreis 072
    und 
    Land Sachsen-Anhalt (Platz 1)",
"May, Michael Hans",1949,MLPD,Land Nordrhein-Westfalen (Platz 22),
"Mayer, Anja Maria",1979,DIE LINKE,"Wahlkreis 056
    und 
    Land Brandenburg (Platz 3)",
"Mayer, Christoph Ulrich",1968,dieBasis,Land Bayern (Platz 8),
"Mayer, Daniel",1992,FREIE WÄHLER,"Wahlkreis 255
    und 
    Land Bayern (Platz 19)",
"Mayer, Magnus",1999,FDP,Land Hamburg (Platz 8),
"Mayer, Michael",1955,dieBasis,Land Hessen (Platz 23),
"Dr. Mayer, Michael Hans",1954,AfD,Wahlkreis 259,
"Mayer, Paul",1974,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 29),
"Mayer, Stephan",1973,CSU,Wahlkreis 212,
"Mayer, Zoe",1995,GRÜNE,"Wahlkreis 271
    und 
    Land Baden-Württemberg (Platz 12)",
"Mayer-Lay, Volker",1981,CDU,Wahlkreis 293,
"Maygutiak, Taras",1973,AfD,Wahlkreis 284,
"Mayr, Florian Markus",1979,dieBasis,"Wahlkreis 257
    und 
    Land Bayern (Platz 9)",
"Mccormick, Terry Lee",1980,Team Todenhöfer,Land Baden-Württemberg (Platz 12),
"McFadden, Tobias",1974,PIRATEN,Land Bayern (Platz 8),
"McNicol, Isabella Emilia Sophia",1985,GRÜNE,Land Hessen (Platz 25),
"Mebes, Anja",1984,Die PARTEI,"Wahlkreis 219
    und 
    Land Bayern (Platz 33)",
"Mebus, Gernot",1960,MLPD,Land Rheinland-Pfalz (Platz 5),
"Medau, Marvin Mel",1989,Tierschutzpartei,Land Mecklenburg-Vorpommern (Platz 12),
"Mederer, Elisabeth",1942,Tierschutzpartei,Land Bayern (Platz 20),
"Mederlet, Frank",1959,SPD,Land Nordrhein-Westfalen (Platz 68),
"Medina, Phillip Georg David",1988,Die PARTEI,Land Bayern (Platz 43),
"Meffert, Yannik",1995,FDP,"Wahlkreis 012
    und 
    Land Mecklenburg-Vorpommern (Platz 7)",
"Mehdi, Benar",1988,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 17),
"Mehlmann, Heike",1978,DIE LINKE,Land Rheinland-Pfalz (Platz 5),
"Mehltretter, Andreas",1991,SPD,"Wahlkreis 214
    und 
    Land Bayern (Platz 15)",
"Mehmet Ali, Takis",1991,SPD,"Wahlkreis 282
    und 
    Land Baden-Württemberg (Platz 22)",
"Mehnina, Lisa",1990,dieBasis,Land Bayern (Platz 34),
"Meier, Andreas Rolf Wilhelm",1976,DIE LINKE,Wahlkreis 144,
"Meier, Jessica",1985,SPD,"Wahlkreis 216
    und 
    Land Bayern (Platz 40)",
"Meier, Jonathan",1994,MLPD,Wahlkreis 101,
"Meier, Philipp",1978,PIRATEN,Wahlkreis 255,
"Meier, Reiner",1953,CSU,Land Bayern (Platz 27),
"Meier, Roland",1964,DIE LINKE,Wahlkreis 216,
"Meier, Ronny",1977,PIRATEN,Land Sachsen-Anhalt (Platz 3),
"Meier, Tomke Anne",1986,SPD,Land Niedersachsen (Platz 55),
"Dr. Meierhofer, Sigrid Elisabeth",1955,SPD,"Wahlkreis 226
    und 
    Land Bayern (Platz 38)",
"Meincke, Daniel",1991,FREIE WÄHLER,"Wahlkreis 019
    und 
    Land Hamburg (Platz 6)",
"Meinecke, Christiane",1956,Die PARTEI,Land Berlin (Platz 16),
"Meiners, Danny",1979,AfD,"Wahlkreis 031
    und 
    Land Niedersachsen (Platz 7)",
"Meinhardt, Patrick",1966,FDP,Wahlkreis 060,
"Meinhardt-Heib, Alexander",1971,SPD,Land Thüringen (Platz 9),
"Meininger, Thomas",1970,LKR,Land Hessen (Platz 11),
"Meise, Ariane",1960,NPD,Land Nordrhein-Westfalen (Platz 1),
"Meiser, Pascal",1975,DIE LINKE,"Wahlkreis 083
    und 
    Land Berlin (Platz 2)",
"Meißner, Johanna Ursula",1961,FREIE WÄHLER,Land Schleswig-Holstein (Platz 8),
"Meist, Hannes Ernst Georg",1965,DKP,Land Bayern (Platz 1),
"Dr. Meister, Michael Günther",1961,CDU,"Wahlkreis 188
    und 
    Land Hessen (Platz 3)",
"Meister, Roland Matthäus",1953,Internationalistische Liste,"Wahlkreis 148
    und 
    Land Nordrhein-Westfalen (Platz 17)",
"Melchin, Petra",1964,Tierschutzpartei,Land Mecklenburg-Vorpommern (Platz 11),
"Mende, Dirk-Ulrich August Heinrich",1957,SPD,"Wahlkreis 044
    und 
    Land Niedersachsen (Platz 27)",
"Mendelsohn, Peter Joachim",1972,Die PARTEI,Land Baden-Württemberg (Platz 5),
"Menge, Patrizia Susanne",1960,GRÜNE,"Wahlkreis 027
    und 
    Land Niedersachsen (Platz 13)",
"Mengel, Steffen",1986,Tierschutzpartei,Land Berlin (Platz 6),
"Menke, Andrea",1969,FREIE WÄHLER,"Wahlkreis 072
    und 
    Land Sachsen-Anhalt (Platz 1)",
"Menke, Christoph",1984,Die Humanisten,Land Berlin (Platz 9),
"Menke, Lina-Johanna",1992,SPD,Land Niedersachsen (Platz 54),
"Mennerich, Benjamin",1981,AfD,"Wahlkreis 021
    und 
    Land Hamburg (Platz 5)",
"Menzel, Andreas Hans-Joachim",1958,FREIE WÄHLER,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 6)",
"Mergner Seidel, Ines",1968,Bündnis C,Land Bayern (Platz 7),
"Merk, Xaver",1953,DIE LINKE,Wahlkreis 255,
"Merkel, Beate Christine",1967,ÖDP,Wahlkreis 217,
"Merkl, Florian Timm",1970,Die PARTEI,Wahlkreis 223,
"Merrettig, Hellmut",1953,LKR,Land Hessen (Platz 6),
"Merten, Anikó",1982,FDP,"Wahlkreis 050
    und 
    Land Niedersachsen (Platz 8)",
"Merten, Reinhold Harry",1957,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 26),
"Merz, Joachim-Friedrich Martin Josef",1955,CDU,Wahlkreis 147,
"Mesarosch, Robin",1991,SPD,"Wahlkreis 295
    und 
    Land Baden-Württemberg (Platz 16)",
"Messer, Thomas Christian Rudolf",1977,SPD,Land Rheinland-Pfalz (Platz 19),
"Methner, Benjamin",1984,Die Grauen,Land Berlin (Platz 3),
"Mettel, Christoph Jochen",1973,CSU,Land Bayern (Platz 79),
"Metz, Tobias",1991,Team Todenhöfer,Land Saarland (Platz 1),
"Metzger, Stefan",1965,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 31),
"Metzig, Michael",1964,dieBasis,"Wahlkreis 009
    und 
    Land Schleswig-Holstein (Platz 8)",
"Metzler, Jan",1981,CDU,"Wahlkreis 206
    und 
    Land Rheinland-Pfalz (Platz 6)",
"Meurer, Dignanllely",1990,GRÜNE,Wahlkreis 089,
"Meurer, Lisa Franziska Maria",1999,Volt,"Wahlkreis 218
    und 
    Land Bayern (Platz 15)",
"Mewes, Christoph",1981,PIRATEN,Land Hamburg (Platz 1),
"Mex, Bernd Hermann",1964,DIE LINKE,Wahlkreis 051,
"Meyder, Julia Lilien",1980,DiB,Land Baden-Württemberg (Platz 13),
"Meyer, Alexander",1970,FDP,"Wahlkreis 252
    und 
    Land Bayern (Platz 36)",
"Meyer, Barbara",1978,Internationalistisches Bündnis,"Wahlkreis 167
    und 
    Land Hessen (Platz 3)",
"Meyer, Bernhard",1976,FREIE WÄHLER,Land Bayern (Platz 50),
"Meyer, Christoph Werner",1975,FDP,"Wahlkreis 080
    und 
    Land Berlin (Platz 1)",
"Meyer, Danny Marlon",1997,FDP,Land Saarland (Platz 6),
"Meyer, Florian Fritz",1982,AfD,Wahlkreis 039,
"Meyer, Gregory Felix Marc",1992,CDU,Land Rheinland-Pfalz (Platz 39),
"Meyer, Günther",1975,PIRATEN,Land Bayern (Platz 15),
"Meyer, Harry Karl-Heinz",1958,NPD,Land Rheinland-Pfalz (Platz 4),
"Meyer, Henning",1956,FREIE WÄHLER,Land Bremen (Platz 6),
"Meyer, Inke",1981,dieBasis,"Wahlkreis 020
    und 
    Land Hamburg (Platz 3)",
"Meyer, Jan-Phillip",1985,Die PARTEI,Land Niedersachsen (Platz 10),
"Meyer, Jens",1969,dieBasis,"Wahlkreis 178
    und 
    Land Hessen (Platz 15)",
"Meyer, Lukas",2002,Die PARTEI,Land Niedersachsen (Platz 17),
"Meyer, Maria",1954,MLPD,Land Schleswig-Holstein (Platz 1),
"Meyer, Merit Meta",2002,SSW,Land Schleswig-Holstein (Platz 9),
"Meyer, Moritz",2002,CSU,Land Bayern (Platz 81),
"Meyer, Nancy",1983,Volt,"Wahlkreis 143
    und 
    Land Nordrhein-Westfalen (Platz 11)",
"Meyer, Patrick",1985,Die PARTEI,Land Nordrhein-Westfalen (Platz 34),
"Meyer, Simone",1981,GRÜNE,"Wahlkreis 047
    und 
    Land Niedersachsen (Platz 23)",
"Dr. Meyer, Tanja",1973,GRÜNE,"Wahlkreis 032
    und 
    Land Niedersachsen (Platz 20)",
"Meyer, Wilfried Bernd",1958,dieBasis,Wahlkreis 082,
"Meyer-Bülow, Astrid Charlotte",1982,CSU,Land Bayern (Platz 52),
"Meyer-Simon, Brigitte",1957,dieBasis,Wahlkreis 175,
"Miah, Mohammad Shahabuddin",1956,GRÜNE,"Wahlkreis 146
    und 
    Land Nordrhein-Westfalen (Platz 38)",
"Miari, Ahmad",1991,Team Todenhöfer,Land Berlin (Platz 16),
"Miazga, Corinna",1983,AfD,"Wahlkreis 231
    und 
    Land Bayern (Platz 2)",
"Michaelis, Axel Reinhard",1965,NPD,Land Bayern (Platz 4),
"Michaelis, Thorsten",1971,FREIE WÄHLER,Wahlkreis 139,
"Michaelsen, Swantje Henrike",1979,GRÜNE,"Wahlkreis 041
    und 
    Land Niedersachsen (Platz 11)",
"Michalke, Simon Mahpiya",1996,Die Humanisten,Land Bayern (Platz 6),
"Michel, Bastian",1980,ÖDP,Land Niedersachsen (Platz 3),
"Michel, Björn",1974,dieBasis,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 7)",
"Michel, Katja",1982,Tierschutzpartei,Wahlkreis 086,
"Michel, Susanne Kathrin",1963,SPD,"Wahlkreis 156
    und 
    Land Sachsen (Platz 2)",
"Michnia, Friedhelm Hartmut",1955,PIRATEN,Land Hamburg (Platz 5),
"Micklich, Matthias",1963,dieBasis,Wahlkreis 010,
"Micklisch, Daniel",1983,ÖDP,"Wahlkreis 165
    und 
    Land Sachsen (Platz 11)",
"Dr. Middelberg, Mathias Wolfgang Antonius",1964,CDU,"Wahlkreis 039
    und 
    Land Niedersachsen (Platz 4)",
"Mielchen, Stefan",1967,FREIE WÄHLER,"Wahlkreis 243
    und 
    Land Bayern (Platz 40)",
